ts_event,best_ofi,multi_ofi,integrated_ofi,cross_asset_ofi
2024-10-21T11:58:18.578706483Z,0,0.0,0.0,-165
2024-10-21T11:58:18.578717695Z,0,0.0,0.0,-1051
2024-10-21T11:58:18.649580622Z,0,0.0,0.0,-807
2024-10-21T11:58:18.666193529Z,0,0.0,0.0,39
2024-10-21T11:58:18.666193529Z,65,65.0,0.0009747296712289052,455
2024-10-21T11:58:18.721960191Z,0,0.0,0.0,-1157
2024-10-21T11:58:18.722551669Z,0,0.0,0.0,3
2024-10-21T11:58:18.722579315Z,0,0.0,0.0,190
2024-10-21T11:58:18.733836431Z,0,0.0,0.0,-1
2024-10-21T11:58:18.771745684Z,0,0.0,0.0,385
2024-10-21T11:58:19.574896952Z,0,0.0,0.0,450
2024-10-21T11:58:19.574907103Z,0,0.0,0.0,1000
2024-10-21T11:58:19.604471701Z,0,200.0,1.9075944646804979,-101
2024-10-21T11:58:19.632503658Z,0,0.0,0.0,-1150
2024-10-21T11:58:21.722356897Z,0,0.0,0.0,205
2024-10-21T11:58:21.794663862Z,0,210.0,1.1069355510606471,99
2024-10-21T11:58:32.993346096Z,0,200.0,0.004769860356359501,143
2024-10-21T11:58:37.947553299Z,0,0.0,0.0,0
2024-10-21T11:58:37.947562931Z,0,0.0,0.0,-84
2024-10-21T11:58:37.947573917Z,0,0.0,0.0,-198
2024-10-21T11:58:40.491423845Z,0,0.0,0.0,-138
2024-10-21T11:58:40.491466764Z,0,0.0,0.0,-181
2024-10-21T11:58:50.556727313Z,0,0.0,0.0,1053
2024-10-21T11:58:53.131341094Z,0,200.0,0.0031825524174711474,200
2024-10-21T11:58:53.954307531Z,0,0.0,0.0,1007
2024-10-21T11:58:53.954307531Z,40,40.0,0.0006604229007860181,-27
2024-10-21T11:58:53.954317948Z,100,501.0,1.946366467921033,-900
2024-10-21T11:58:53.954477659Z,0,0.0,0.0,150
2024-10-21T11:58:53.954477659Z,-201,-359.0,-0.5539301400408729,-699
2024-10-21T11:58:53.954501480Z,100,201.0,0.024165711438613326,100
2024-10-21T11:58:53.954502815Z,0,200.0,0.8024144547279212,-190
2024-10-21T11:58:53.954507571Z,0,100.0,0.00459787019927923,-14
2024-10-21T11:58:53.954515456Z,0,100.0,0.0031050551995132464,-16
2024-10-21T11:58:53.954518683Z,0,100.0,0.002344012258456078,196
2024-10-21T11:58:53.954521070Z,40,40.0,0.0007669427234934405,112
2024-10-21T11:58:53.954534910Z,0,0.0,0.0,50
2024-10-21T11:58:53.954535707Z,0,40.0,0.4176627880563616,13
2024-10-21T11:58:53.954546864Z,0,-100.0,-0.0031050551995132464,-55
2024-10-21T11:58:53.954549208Z,-100,-100.0,-0.002712940546797336,-195
2024-10-21T11:58:53.954555754Z,0,0.0,0.0,-95
2024-10-21T11:58:53.954564591Z,0,-100.0,-0.00459787019927923,196
2024-10-21T11:58:53.954570870Z,0,-100.0,-0.008855157420834073,72
2024-10-21T11:58:53.954666995Z,0,0.0,0.0,-749
2024-10-21T11:58:53.954950395Z,0,-41.0,-0.02110804064078853,-14
2024-10-21T11:58:54.013566047Z,0,0.0,0.0,629
2024-10-21T11:58:54.013589130Z,0,0.0,0.0,-143
2024-10-21T11:58:54.021444014Z,0,0.0,0.0,-1172
2024-10-21T11:58:54.043347922Z,0,0.0,0.0,148
2024-10-21T11:58:54.063766628Z,0,-401.0,-1.4438977049033856,-100
2024-10-21T11:58:54.213766156Z,-1,-411.0,-0.13340205649903578,-1
2024-10-21T11:58:58.704657287Z,0,26.0,0.2930758768463674,-1153
2024-10-21T11:58:58.704745556Z,0,0.0,0.0,20
2024-10-21T11:58:58.758409305Z,0,-200.0,-0.00919574039855846,144
2024-10-21T11:58:58.758422757Z,0,200.0,0.00919574039855846,-50
2024-10-21T11:58:58.912375357Z,100,301.0,1.1368909129563658,100
2024-10-21T11:58:58.912551174Z,-8,-183.0,-0.23041768338184312,1
2024-10-21T11:58:58.912551174Z,201,359.0,0.8631090870436342,1407
2024-10-21T11:58:58.912551174Z,1,1.0,2.17939557259386e-05,9
2024-10-21T11:58:58.912577219Z,92,217.0,1.1972747367117118,70
2024-10-21T11:58:58.912588388Z,0,200.0,0.003477661823454836,-189
2024-10-21T11:58:58.912594900Z,0,438.0,1.8691314086291182,22
2024-10-21T11:58:58.912609151Z,0,0.0,0.0,-390
2024-10-21T11:58:58.912613899Z,0,-100.0,-0.6104302286977593,-1
2024-10-21T11:58:58.912617614Z,0,0.0,0.0,90
2024-10-21T11:58:58.912620981Z,-38,-376.0,-1.2084138597316614,61
2024-10-21T11:58:58.912628049Z,0,0.0,0.0,-90
2024-10-21T11:58:58.912639087Z,0,-100.0,-0.0027324485755716565,-167
2024-10-21T11:58:58.912642543Z,0,-100.0,-0.0038254280058003195,-800
2024-10-21T11:58:58.912684059Z,0,0.0,0.0,27
2024-10-21T11:58:58.912954809Z,0,-39.0,-0.07823684061142752,390
2024-10-21T11:58:58.926466671Z,0,0.0,0.0,-62
2024-10-21T11:58:58.945466491Z,0,0.0,0.0,-18
2024-10-21T11:58:58.980196081Z,0,0.0,0.0,-800
2024-10-21T11:58:58.980205607Z,0,0.0,0.0,118
2024-10-21T11:58:58.983388525Z,0,0.0,0.0,0
2024-10-21T11:58:58.983400771Z,0,0.0,0.0,394
2024-10-21T11:58:59.013763041Z,0,-401.0,-1.867261681505669,49
2024-10-21T11:58:59.013823110Z,0,0.0,0.0,1046
2024-10-21T11:58:59.163763153Z,-1,-427.0,-1.0190808932487676,-100
2024-10-21T11:59:00.168228588Z,0,-10.0,-0.5668280695050621,-50
2024-10-21T11:59:00.168269867Z,0,30.0,1.082126314509664,1
2024-10-21T11:59:00.853830846Z,0,0.0,0.0,386
2024-10-21T11:59:01.071525039Z,0,-40.0,-0.5684219978408123,23
2024-10-21T11:59:01.071537379Z,0,400.0,1.8671983466049107,79
2024-10-21T11:59:01.127333717Z,0,0.0,0.0,-102
2024-10-21T11:59:01.141872098Z,0,0.0,0.0,19
2024-10-21T11:59:01.141884696Z,0,0.0,0.0,92
2024-10-21T11:59:01.197001468Z,0,390.0,-0.5602325039778202,-1177
